Название вакансии,URL,Название компании,Описание
Программист Python,https://voronezh.hh.ru/vacancy/34298019?query=Python,ООО АМИКОН,"Поддержка, сопровождение и разработка дополнительной функциональности тестового стенда. Подготовка сценариев для автоматизации тестирования. Чтение и понимание кода на С, достаточное для переписывания кода на Python при необходимости. Опыт написания нагрузочных, функциональных и модульных..."
Computer Vision / Data scientist CV,https://voronezh.hh.ru/vacancy/34070637?query=Python,ООО АлгоМост,"Построение моделей для вычисления количественных показателей по изображениям. Построение моделей для детекции и сегментации на медицинских изображениях. Построение моделей диагностики... Знание языка Python и различных библиотек для машинного обучения (Scikit-learn, Pandas, Lightgbm, XGBoost, VowpalWabbit). Хорошие коммуникативные навыки, умение работать..."
Fullstack разработчик (python),https://voronezh.hh.ru/vacancy/33160373?query=Python,ООО Сенсориум Корпорейшн Москва,"Разрабатывать web сервисы, чаще всего “с нуля”. Участвовать в разработке архитектуры, тестировании, код ревью. Знание python, javascript. Опыт использования фреймворков flask/django. Опыт кросс-браузерной разработки, хорошее знание HTML и CSS (sass/less). "
"Стажёр(Анализ данных,data science)",https://voronezh.hh.ru/vacancy/34061806?query=Python,ООО САС Институт," Быть студентом 3-5 курса бакалавриата/специалитета, магистратуры либо недавним выпускником технической специальности. Знать хотя бы один язык программирования, разбираться..."
Backend Developer Python (Junior / Middle),https://voronezh.hh.ru/vacancy/34236124?query=Python,ООО Технологии обработки данных,"Развитие и сопровождение универсальной платформы психометрического анализа. Автоматизация процессов обработки, обогащения и нормализации данных. Работы с Lua, разработки с использованием... Отличное знание Python. Опыт работы с реляционными базами данных. Опыт работы с системами контроля версий и отслеживания задач. "
Разработчик Python,https://voronezh.hh.ru/vacancy/34120963?query=Python, Асимметрик VFX (Asymmetric VFX Studio),Автоматизация производства. Data management. Workflow management. Анализ производственной статистики. Разработка. Базовое функциональное тестирование. Взаимодействие с конечным пользователем в рамках производственного... Знание Python. Понимание принципов ООП. Базовые знания SQL. Навыки работы с Git. Знание JavaScript(TypeScript). Базовые навыки верстки. 
Python developer,https://voronezh.hh.ru/vacancy/34031360?query=Python, B2Broker Санкт-Петербург," Имеет опыт коммерческой разработки на Python 3 от 6 лет. Знает и умеет использовать: итераторы, генераторы, потоки. Отлично владеет знаниями..."
Junior Python Developer,https://voronezh.hh.ru/vacancy/33965018?query=Python,ООО АКХ,Автоматизированные камеры хранения. Автоматизированные ключницы. Автоматизированные депозитные машины. Git/Linux. Python. PostgreSQL/SQLite. Flask + HTML5 (приветствуется PyQT). Нижний уровень. Верхний уровень. Опыт программирования на языке Python. 
Data Engineering Team Lead (Python / C++),https://voronezh.hh.ru/vacancy/34106577?query=Python, DataFork,"Автоматизация процессов сбора, хранения и анализа данных из открытых и закрытых источников (ETL / CMC). Автоматизация процессов обработки, «обогащения» и нормализации... Умение читать / писать код на python и С++. Опыт разработки в среде linux. Опыт руководства командой 3-5 человек. "
Junior Quantitative Researcher,https://voronezh.hh.ru/vacancy/31844648?query=Python,ООО КВАНТПОРТРУС,"Working with large and complex datasets to build quantitative models which predict future price movements. Applying modern mathematical and statistical... Strong knowledge of probability, statistics, optimization, numerical methods. Good programming skills in Python (numpy, sklearn, pandas, matplotlib, etc.). "
